,LSOA11CD,SEC1_chg,SEC2_chg,SEC3_chg,SEC4_chg,SEC5_chg,SEC6_chg,SEC7_chg,hseP_chg,inc_chg,owned_chg,socRent_chg,pteRent_chg,inc_01,hseP_01
2020,E01002070,0.34,-1.19,0.09,6.43,0.49,-0.75,2.98,70.80745342,47.17501148,-10.370000000000001,-4.6899999999999995,15.610000000000001,21.77,120.75
2021,E01002071,-0.85,-2.97,-0.22,6.06,1.58,2.38,2.88,126.0416667,39.89795918,-1.06,-4.89,4.42,19.6,72.0
2022,E01002072,-1.02,-1.56,-0.97,4.17,1.99,1.02,2.34,100.2747253,45.63351843,-7.04,-2.34,6.84,19.81,91.0
2023,E01002073,-1.55,-2.58,-0.25,9.76,0.34,1.96,5.97,125.6410256,46.71814672,-0.5099999999999999,-4.140000000000001,3.65,20.72,97.5
2024,E01002074,-1.13,-1.47,0.46,5.53,1.32,1.04,2.63,158.72483219999995,42.04425711,-6.92,-6.46,9.969999999999999,18.98,74.5
2025,E01002075,-1.47,-4.11,0.76,5.6,-0.23,-0.3,-0.52,90.73033708,40.32016008,-5.0200000000000005,0.009999999999999787,3.46,19.99,89.0
2026,E01002076,-4.29,-3.47,0.41,5.52,1.07,2.1,2.54,102.3809524,35.98665396,-8.05,-1.7999999999999998,9.1,20.98,105.0
2027,E01002077,-0.67,-2.08,1.38,4.8,0.0,-0.65,2.71,93.75,40.12772751,-5.75,-3.3099999999999996,4.84,18.79,80.0
2028,E01002078,-0.19,-1.55,2.69,4.73,-0.56,2.26,1.26,158.0645161,44.77317554,-5.84,-2.8800000000000003,8.53,20.28,69.75
2029,E01002079,-0.88,-0.39,1.07,8.54,-0.07,0.52,5.59,106.8965517,46.9089193,-11.379999999999999,-1.4000000000000001,12.44,21.19,116.0
2030,E01002080,0.29,-1.39,0.6,5.87,-0.39,2.96,6.18,79.84496124,52.41617357,-6.28,-6.4399999999999995,10.49,20.28,129.0
2031,E01002081,-0.35,-1.2,-1.05,3.76,0.42,-1.38,3.61,139.23444980000002,39.06336088,-4.14,-0.9099999999999999,4.27,18.15,104.5
2032,E01002082,-1.53,-0.57,-0.07,2.95,-0.39,1.46,1.58,95.23809524,35.34883721,-2.47,1.23,-0.8500000000000001,19.35,105.0
2033,E01002083,-0.75,-0.81,1.4,6.13,2.84,2.24,4.95,108.1135903,41.09419992,-6.029999999999999,-4.91,10.09,24.31,123.25
2034,E01002084,-1.24,-1.51,1.19,6.65,1.24,3.15,5.78,202.8846154,41.39515455,-5.22,-2.69,7.670000000000001,23.94,104.0
2035,E01002085,-4.71,1.9,0.09,5.4,0.75,2.17,4.33,132.0754717,39.72777541,-12.66,-1.5300000000000002,12.17,23.51,132.5
2036,E01002086,0.85,-2.27,-1.69,4.21,0.74,1.7,2.19,146.4,37.53363229,-4.99,-2.34,7.82,22.3,125.0
2037,E01002087,-2.16,-5.44,2.57,4.76,2.98,3.13,3.28,178.2608696,40.29147021,-5.3500000000000005,0.7399999999999999,3.4600000000000004,23.33,115.0
2038,E01002088,1.43,0.65,-0.34,4.81,1.88,1.46,1.3,163.312369,45.37444934,-12.15,-1.8900000000000001,12.81,22.7,119.25
2039,E01002089,-1.24,-2.12,0.0,2.75,1.6,3.96,-0.62,57.85714286,45.18348624,-3.11,2.1599999999999997,-1.0599999999999998,17.44,105.0
2040,E01002090,-1.24,-1.36,2.58,6.76,1.98,1.66,2.48,120.4166667,45.17716535,-7.0200000000000005,-2.5699999999999994,9.479999999999999,20.32,120.0
2041,E01002091,0.25,1.13,0.37,7.52,0.05,3.97,2.5,77.2,47.67573696,-3.17,-2.4699999999999998,5.109999999999999,17.64,125.0
2042,E01002092,0.89,1.22,3.45,5.18,0.72,0.88,4.93,89.96960486,50.75545607,-7.01,-12.629999999999999,17.439999999999998,17.87,65.8
2043,E01002093,-0.7,1.79,-0.14,5.99,0.23,3.63,0.66,59.57446809,48.22112753,-2.84,-5.38,6.619999999999999,18.27,117.5
2044,E01002094,-0.39,1.62,1.89,5.28,-1.33,2.43,2.43,99.07407407,56.390565,-1.06,-8.29,7.359999999999999,18.23,108.0
2045,E01002095,-0.61,0.89,0.31,2.34,-0.45,1.76,2.2,96.03762376,51.71489818,0.78,-9.600000000000001,6.94,18.66,101.0
2046,E01002096,-0.11,1.36,2.23,3.38,1.12,1.49,2.94,104.6218487,54.34543454,-0.95,-2.46,3.28,18.18,119.0
2047,E01002097,0.83,2.91,-0.49,1.82,-0.06,3.39,2.43,76.19047619,50.36880927,-1.03,-4.54,3.8800000000000003,18.98,105.0
2048,E01002098,-1.93,-1.73,0.52,4.24,0.75,1.39,3.73,92.98245614,38.02181271,-9.66,0.0,9.16,26.59,142.5
2049,E01002099,0.15,0.91,2.14,3.73,0.88,2.35,3.54,33.83458647,35.92137592,-1.9700000000000002,-9.41,8.870000000000001,20.35,133.0
2050,E01002100,0.34,-0.88,0.67,6.26,1.86,1.91,5.07,46.15384615,35.81752484,-11.43,0.1200000000000001,5.61,22.14,130.0
2051,E01002101,0.04,-5.41,-1.57,6.65,0.7,2.95,7.98,94.17475728,41.39515455,-4.449999999999999,-3.62,8.17,23.94,128.75
2052,E01002102,0.74,-2.32,-1.99,6.03,1.9,2.74,3.98,98.58565737,44.97648568,-12.61,-4.25,16.049999999999997,23.39,125.5
2053,E01002103,-1.11,-1.67,-1.93,9.28,1.51,1.83,4.7,88.74172185,36.55689871,-13.219999999999999,-0.7799999999999998,12.02,23.99,151.0
2054,E01002104,-1.92,-0.57,2.41,8.12,0.6,5.13,3.5,103.7037037,37.23723724,-6.19,-0.41000000000000003,4.81,23.31,135.0
2055,E01002105,-2.45,-4.14,-1.47,8.76,1.96,5.42,4.61,159.4594595,38.90799656,-9.98,-7.859999999999999,16.65,23.26,111.0
2056,E01002106,0.28,-0.63,1.88,2.2,0.36,1.62,1.54,116.5109034,37.53453039,-5.279999999999999,-0.8800000000000001,6.02,28.96,160.5
2057,E01002107,2.03,-2.17,1.59,4.47,-0.94,-0.67,1.46,71.85385656,34.77242303,-7.739999999999999,-1.3599999999999999,8.26,29.88,184.75
2058,E01002108,3.58,-1.82,1.44,1.06,-0.26,1.17,-0.45,106.6395664,38.50214451,-6.619999999999999,-1.22,5.859999999999999,30.31,184.5
2059,E01002109,3.89,-1.13,1.14,3.54,-1.65,1.11,1.69,225.3012048,38.60681115,-4.4399999999999995,-0.09000000000000001,3.6,32.3,166.0
2060,E01002110,2.59,-2.36,2.04,4.65,0.18,-0.3,0.49,110.4979812,36.87989556,-8.87,0.29,7.1499999999999995,30.64,185.75
2061,E01002111,2.53,-2.71,2.24,5.17,-1.81,0.0,0.67,103.4003091,37.54898468,-9.31,-0.36000000000000004,9.29,28.07,161.75
