,LSOA_Code,Score_2001,Score_2011,Rank_2001,Rank_2011,Rank_chg,Z_score,score_chg,status
755,E01000770,-0.3698821925227031,2.0188613446751718,1417.0,777.0,640.0,1.4205218795015229,2.388743537197876,ASC
759,E01000774,-0.91394474918922,0.8174647925194154,2310.0,1712.0,598.0,1.3273001311592354,1.7314095417086357,ASC
781,E01000797,-0.4499833549357062,2.2239281960273214,1535.0,679.0,856.0,1.8999480138332867,2.673911550963028,ASC
787,E01000803,-0.9163392278671572,0.8087969361548835,2314.0,1725.0,589.0,1.307324042228745,1.7251361640220406,ASC
789,E01000805,-1.2112511959295955,0.2974033428178168,3007.0,2369.0,638.0,1.4160827486280807,1.5086545387474124,ASC
792,E01000808,-0.3750343289256243,1.71109548037852,1428.0,976.0,452.0,1.003243577397951,2.0861298093041443,ASC
795,E01000811,-0.92314459962273,1.0336991005576863,2324.0,1498.0,826.0,1.833361050731653,1.9568437001804164,ASC
812,E01000830,1.0843004567391032,3.8011298177414083,321.0,230.0,91.0,0.2019804547416228,2.7168293610023047,ASC
816,E01000834,-0.7151257771985055,1.0621634073826196,1954.0,1474.0,480.0,1.065391409626142,1.7772891845811252,ASC
823,E01000841,-0.7856155437346292,0.9445222268632444,2072.0,1579.0,493.0,1.0942457603035172,1.7301377705978735,ASC
828,E01000846,1.124732866820369,4.221689767581103,294.0,175.0,119.0,0.26412828696981444,3.096956900760734,ASC
830,E01000848,1.514549275122672,4.408293350807822,161.0,151.0,10.0,0.02219565436721129,2.8937440756851505,ASC
835,E01000853,-0.8330809998672889,1.136098301174862,2154.0,1408.0,746.0,1.6557958157939627,1.9691793010421508,ASC
836,E01000854,-0.4787805157530712,1.8793229598391283,1573.0,860.0,713.0,1.5825501563821651,2.3581034755921992,ASC
839,E01000857,0.712418815288372,4.636898086927902,507.0,130.0,377.0,0.8367761696438658,3.9244792716395303,ASC
840,E01000858,-1.254084740167875,1.0552735415625356,3102.0,1477.0,1625.0,3.6067938346718353,2.3093582817304106,ASC
841,E01000859,1.7571238908644706,4.831532808727529,108.0,120.0,-12.0,-0.026634785240653557,3.074408917863058,ASC
842,E01000860,0.7746994609796246,4.487315429349281,462.0,144.0,318.0,0.7058218088773192,3.712615968369657,ASC
844,E01000862,1.3400834201130332,4.245085158207436,210.0,173.0,37.0,0.08212392115868179,2.9050017380944033,ASC
862,E01000880,2.390844919081649,5.231832361763954,46.0,103.0,-57.0,-0.12651522989310438,2.8409874426823047,ASC
864,E01000882,1.455766705409155,4.801293437256933,176.0,122.0,54.0,0.119856533582941,3.3455267318477784,ASC
866,E01000884,2.457001163293236,7.943819312526273,42.0,26.0,16.0,0.03551304698753807,5.486818149233037,ASC
875,E01000893,2.1807031951668394,4.96192604783665,67.0,114.0,-47.0,-0.10431957552589308,2.7812228526698113,ASC
876,E01000894,2.9455813449445447,6.226691070769332,18.0,65.0,-47.0,-0.10431957552589308,3.2811097258247868,ASC
878,E01000896,2.136816469489157,5.424076873750969,73.0,95.0,-22.0,-0.04883043960786485,3.287260404261812,ASC
879,E01000897,2.3303132837636387,5.451198427832449,51.0,93.0,-42.0,-0.09322174834228744,3.1208851440688106,ASC
881,E01000899,2.895168454502868,6.062818766987832,19.0,72.0,-53.0,-0.11763696814621985,3.167650312484964,ASC
891,E01000909,1.081512390660481,5.30465232258905,323.0,99.0,224.0,0.49718265782553295,4.223139931928569,ASC
892,E01000910,0.6104151596867556,4.349790292230002,565.0,156.0,409.0,0.907802263618942,3.739375132543246,ASC
894,E01000912,-0.5428023937338843,2.1801808099786406,1668.0,703.0,965.0,2.1418806464358897,2.722983203712525,ASC
895,E01000913,1.5977051746977733,6.619370346160041,139.0,53.0,86.0,0.19088262755801716,5.021665171462269,ASC
