,LSOA11CD,PCA_scores_11_nbr
271,E01000276,111.161726177
272,E01000277,39.720925518
273,E01000278,51.973396357
274,E01000279,137.97000328700003
275,E01000280,89.49984545999999
276,E01000281,34.862461767999996
277,E01000282,97.543759186
278,E01000283,102.02645233300001
279,E01000284,45.718051762
280,E01000285,6.0143357260000005
281,E01000286,36.2757102
282,E01000287,42.011763013000014
283,E01000288,77.780435764
284,E01000289,39.81093795300001
285,E01000290,75.92257436700001
286,E01000291,39.03999336600001
287,E01000292,5.690351163000001
288,E01000293,5.015980086000001
289,E01000294,9.253329160000002
290,E01000295,32.831232444
291,E01000296,89.677635549
292,E01000297,42.300999775
293,E01000298,56.81829593799999
294,E01000299,39.154246436
295,E01000300,39.598624267
296,E01000301,100.819505167
297,E01000302,39.823429438000005
298,E01000303,53.24532177
299,E01000304,52.788975091
300,E01000305,0.7280156329999992
301,E01000306,47.853502639
302,E01000307,40.857289186
303,E01000308,3.6840656209999993
304,E01000309,80.361280821
305,E01000310,176.20185802400002
306,E01000311,232.71210087
307,E01000312,-3.7617579699999997
308,E01000313,21.915148961
309,E01000314,81.688978169
310,E01000315,17.486583789
311,E01000316,25.030823450999996
312,E01000317,43.996067204000006
313,E01000318,24.666414881
314,E01000319,30.363173565
315,E01000320,25.724489285
316,E01000321,43.458980896
317,E01000322,24.567798468000003
318,E01000323,26.54374875
319,E01000324,22.961888031
320,E01000325,-10.09188782
321,E01000326,-9.879726205
322,E01000327,-9.75902199
323,E01000328,-16.387067371000004
324,E01000329,-9.718840838
325,E01000330,-11.597060824
326,E01000331,-11.834210705
327,E01000332,-13.953997371
328,E01000333,-10.306212538
329,E01000334,-12.325636879
330,E01000335,-12.603674451
331,E01000336,-10.258228159000002
332,E01000337,-8.308658278
333,E01000338,-12.141103698999999
334,E01000339,-12.074221029
335,E01000340,-11.365908973
336,E01000341,-7.753109412000001
337,E01000342,-12.37259664
338,E01000343,-10.863570128
339,E01000344,-7.060104533999999
340,E01000345,-11.43334857
341,E01000346,-8.040335322
342,E01000347,-9.632079018
343,E01000348,-7.632533538000001
344,E01000349,-16.308764626
345,E01000350,-10.472818059
346,E01000351,-13.304486443
347,E01000352,-15.136171228000002
348,E01000353,-11.232409569
349,E01000354,-7.654299647
350,E01000355,-13.254145776
351,E01000356,-11.508504668
352,E01000357,-11.316116148
353,E01000358,-11.584598528
354,E01000359,-17.516524155
355,E01000360,-11.056803213
356,E01000361,-10.743788845000001
357,E01000362,-11.577278008
358,E01000363,-9.352126414
359,E01000364,-12.902550604000002
360,E01000365,-13.416855579
361,E01000366,-9.590848176
362,E01000367,-16.594007979999997
363,E01000368,-7.855344274
364,E01000369,-11.921285069
365,E01000370,-11.051915764999999
366,E01000371,-10.365906083
367,E01000372,-10.285333299
368,E01000373,-6.18238764
369,E01000374,-8.598345191
370,E01000375,-8.513951246
371,E01000376,-10.620765686000002
372,E01000377,-8.425252203
373,E01000378,-14.217787303000001
374,E01000379,-4.218632754
375,E01000380,-12.549339461
376,E01000381,-9.54056913
377,E01000382,-15.228240228
378,E01000383,-12.052766742
379,E01000384,-7.5722326849999995
380,E01000385,-7.755731744
381,E01000386,-12.105752616999998
382,E01000387,-11.295963101
383,E01000388,-11.247650549
384,E01000389,-11.564884977
385,E01000390,-11.67446526
386,E01000391,-11.157389614
387,E01000392,-11.980954775
388,E01000393,-11.292262113000001
389,E01000394,-13.527598423
390,E01000395,-8.137183864
391,E01000396,-13.706664809000001
392,E01000398,-13.977795121
393,E01000399,-9.808284524
394,E01000400,-10.217445660000001
395,E01000401,-11.896927768000001
396,E01000402,-11.596625681999999
397,E01000403,-17.909778566999996
398,E01000404,-4.234139795
399,E01000405,-7.988493940999999
400,E01000406,-12.445566663999998
401,E01000407,-11.871408866
402,E01000408,-7.597946897
403,E01000409,-9.403526446999999
404,E01000410,-7.3418456590000005
405,E01000411,-9.334505125
406,E01000412,-12.834356989
407,E01000413,-17.224019407
408,E01000414,-15.615039174999998
